data.id	seg.size	status	RMS
c0_xy	273	0	0.295435
c0_xy	349	1	-1
c0_xy	141	1	-1
c0_xy	252	1	-1
c0_xy	208	1	-1
c0_xy	242	1	-1
c0_xy	177	1	-1
c0_xy	292	1	-1
c0_xy	191	0	0.259842
c0_xy	131	1	-1
c0_xy	195	1	-1
c0_xy	135	1	-1
c0_xy	151	1	-1
c0_xy	160	1	-1
c0_xy	147	1	-1
c0_xy	180	0	0.200199
c0_xy	290	0	0.203904
c0_xy	197	1	-1
c0_xy	244	1	-1
c0_xy	247	1	-1
c0_xy	193	1	-1
c0_xy	214	1	-1
c0_xy	178	1	-1
c0_xy	198	1	-1
c0_xy	263	1	-1
c0_xy	225	0	0.179361
c0_xy	175	1	-1
c0_xy	217	0	0.163515
c0_xy	84	0	0.233409
c0_xy	166	1	-1
c0_xy	85	1	-1
c0_xy	198	1	-1
c0_xy	232	1	-1
c0_xy	303	1	-1
c0_xy	167	1	-1
c0_xy	203	0	0.210496
c0_xy	165	0	0.186342
c0_xy	223	1	-1
c0_xy	162	0	0.261106
c0_xy	168	1	-1
c0_xy	192	1	-1
c0_xy	133	0	0.176528
c0_xy	125	1	-1
c0_xy	132	1	-1
c0_xy	301	1	-1
c0_xy	84	0	0.192986
c0_xy	220	1	-1
c0_xy	166	0	0.22503
c0_xy	258	0	0.189063
c0_xy	219	1	-1
c0_xy	259	1	-1
c0_xy	191	1	-1
c0_xy	222	1	-1
c0_xy	252	1	-1
c0_xy	148	1	-1
c0_xy	154	1	-1
c0_xy	202	1	-1
c0_xy	436	1	-1
c0_xy	119	1	-1
